country,R,G,B,Area,Continent,LifeExpectancy,Population,GDP,Life Expectancy
Afghanistan,0.325317383,0.3359375,0,652230,Asia,44.64,2.91E+07,1.27E+10,1919
Albania,0.872869318,0,0,28748,Europe,77.96,3.17E+06,1.31E+10,1912
Algeria,0.088235294,0.450275735,0,2.38E+06,Africa,74.02,3.54E+07,1.70E+11,1962
AmericanSamoa,0.213256836,0,0.5,199,Oceania,73.72,66432,3.34E+08,
Andorra,0.6640625,0,0.3359375,468,Europe,82.51,87000,3.71E+09,1278
Angola,0.540257353,0,0,1.25E+06,Africa,38.2,1.90E+07,3.50E+10,1975
Anguilla,0.14255276,0.002333604,0.775162338,102,NorthAmerica,80.65,15000,2.86E+08,
AntiguaBarbuda,0.590116279,0,0.113735465,442.6,NorthAmerica,74.76,89000,1.22E+09,1981
Argentina,0.028076172,0,0.6875,2.77E+06,SouthAmerica,76.56,4.07E+07,3.33E+11,1816
Armenia,0.65625,0,0.34375,29743,Asia,72.68,3.09E+06,1.19E+10,1991
Aruba,0.0140625,0.035294118,0.856525735,180,NorthAmerica,75.28,107000,2.72E+09,
Australia,0.12109375,0,0.82043457,7.69E+06,Oceania,81.63,2.15E+07,1.02E+12,1901
Austria,0.658823529,0,0,83871,Europe,79.5,8.39E+06,4.14E+11,1918
Azerbaijan,0.333984375,0.328125,0.328125,86600,Asia,66.66,8.93E+06,4.63E+10,1991
Bahamas,0.211547852,0.013183594,0.572387695,13880,NorthAmerica,65.78,346000,7.46E+09,1973
Bahrain,0.697037338,0,0.013900162,741,Asia,75.16,807000,2.19E+10,1971
Bangladesh,0.225091912,0.774908088,0,143998,Asia,60.25,1.64E+08,7.90E+10,1971
Barbados,0.318933824,0,0.65625,430,NorthAmerica,73.94,257000,3.68E+09,1966
Belarus,0.673950195,0.306030273,0,207600,Europe,70.63,9.59E+06,6.03E+10,1991
Belgium,0.671875,0,0,30528,Europe,79.22,1.07E+07,5.04E+11,1830
Belize,0.202205882,0.097150735,0.564430147,22966,NorthAmerica,68.2,313000,1.37E+09,1981
Benin,0.667922794,0.332077206,0,112622,Africa,59,9.21E+06,6.64E+09,1960
Bermuda,0.796508789,0.025146484,0.105102539,54,NorthAmerica,80.43,65000,6.43E+09,
Bhutan,0.910661765,0,0,38394,Asia,66.13,708000,1.33E+09,1949
Bolivia,0.341176471,0.329411765,0,1.10E+06,SouthAmerica,66.89,1.00E+07,1.67E+10,1825
BosniaHerzegovina,0.25390625,0,0.7265625,51197,Europe,78.5,3.76E+06,1.84E+10,1992
Botswana,0,0,0.752941176,581730,Africa,61.85,1.98E+06,1.17E+10,1966
Brazil,0.179513889,0.6921875,0.126822917,8.51E+06,SouthAmerica,71.99,1.95E+08,1.60E+12,1822
BritishVirginIslands,0.151367188,0.073486328,0.722045898,151,NorthAmerica,77.26,23000,1.21E+09,
Brunei,0.364035891,0.200695843,0.202984801,5765,Asia,75.74,407000,1.45E+10,1984
Bulgaria,0.326838235,0.338511029,0,110879,Europe,73.09,7.50E+06,4.99E+10,1878
BurkinaFaso,0.516360294,0.483547794,0,274200,Africa,52.95,1.63E+07,7.95E+09,1960
Burundi,0.303865132,0.347245066,0,27830,Africa,52.09,8.52E+06,1.11E+09,1962
Cambodia,0.469393382,0,0.494117647,181035,Asia,62.1,1.51E+07,1.12E+10,1953
Cameroon,0.671875,0.328125,0,475440,Africa,53.69,2.00E+07,2.32E+10,1960
Canada,0.658203125,0,0,9.98E+06,NorthAmerica,81.23,3.39E+07,1.50E+12,1867
CapeVerde,0.107345779,0,0.750202922,4033,Africa,71.61,513000,1.71E+09,1975
CaymanIslands,0.28218275,0.238143197,0.429225417,264,NorthAmerica,80.44,57000,2.82E+09,
CentralAfricanRepublic,0.171875,0.214338235,0.204319853,622984,Africa,44.47,4.51E+06,2.02E+09,1960
Chad,0.3359375,0,0.3359375,1.28E+06,Africa,47.7,1.15E+07,8.35E+09,1960
Chile,0.505882353,0,0.155882353,756102,SouthAmerica,77.34,1.71E+07,1.70E+11,1810
China,0.991084559,0,0,9.60E+06,Asia,73.47,1.35E+09,4.33E+12,1949
ChristmasIsland,0.065551758,0.459472656,0.470458984,135,Asia,"Missing[""NotAvailable""]",1462,,
CocosKeelingIslands,0.254375,0.463645833,0.25,14,Asia,"Missing[""NotAvailable""]",605,,
Colombia,0.752941176,0,0.247058824,1.14E+06,SouthAmerica,72.81,4.63E+07,2.44E+11,1810
Comoros,0.162775735,0.229871324,0.216636029,2235,Africa,63.47,691000,5.30E+08,1975
CookIslands,0.12109375,0,0.812744141,236,Oceania,74.22,20000,2.11E+08,
CostaRica,0.329411765,0,0.341176471,51100,NorthAmerica,77.58,4.64E+06,2.98E+10,1821
Croatia,0.37204072,0.00295928,0.3984375,56594,Europe,75.35,4.41E+06,6.93E+10,1991
Cuba,0.222986748,0.176095821,0.30861366,110860,NorthAmerica,77.45,1.12E+07,6.27E+10,1902
Curacao,0.117647059,0,0.873529412,444,NorthAmerica,"Missing[""NotApplicable""]",140794,"Missing[""NotAvailable""]",
Cyprus,0.040805138,0.026864035,0.024749373,9251,Asia,78.33,786873,2.48E+10,1960
CzechRepublic,0.391268382,0,0.250919118,78867,Europe,76.81,1.04E+07,2.17E+11,1993
